parameter,feature,pearson_r,spearman_rho,p_value,n,fdr_q,fdr_significant
t0,left_temporal_sample_entropy,0.02130139536927697,0.010845485542563232,0.7741049363837817,184,0.9362606329395059,False
t0,left_temporal_perm_entropy,-0.09094971584447245,-0.11753192964882202,0.2195066785463566,184,0.7289705256990779,False
t0,right_temporal_aperiodic_exponent,0.03504260963128205,0.046390938336768696,0.6367506292789421,184,0.9362606329395059,False
t0,right_temporal_aperiodic_offset,0.09959168742583097,0.029292442834851953,0.17860342521782124,184,0.7169184271751449,False
t0,right_temporal_sample_entropy,-0.012500679842344323,-0.03336865018974784,0.8662540698870559,184,0.9733392493784033,False
t0,right_temporal_perm_entropy,-0.09908396707548561,-0.14793203752576525,0.1808389679349057,184,0.7169184271751449,False
t0,occipital_aperiodic_exponent,-0.06948427821942037,-0.1248887519022943,0.34863470430877697,184,0.8034011532439302,False
t0,occipital_aperiodic_offset,-0.009470992164217602,-0.08550788850147369,0.8984669994262185,184,0.9733392493784033,False
t0,occipital_sample_entropy,0.033548135137515624,0.04221070678661555,0.6512004487317862,184,0.9362606329395059,False
t0,occipital_perm_entropy,-0.0541939049642592,-0.07296334110304174,0.46499336264087743,184,0.8568107868931272,False
t0,prefrontal_aperiodic_exponent,0.03508255206551858,-0.06280749744755447,0.636366274912798,184,0.9362606329395059,False
t0,prefrontal_aperiodic_offset,0.07314646544643039,-0.011758586812043689,0.3237564901588966,184,0.8034011532439302,False
t0,prefrontal_sample_entropy,-0.025746015882189936,0.022634894338386856,0.7286563086395201,184,0.9362606329395059,False
t0,prefrontal_perm_entropy,-0.1521395589262875,-0.15835757353932692,0.03923872134462125,184,0.6896466093312127,False
t0,global_delta,-0.001514191588831034,-0.10612972202423376,0.9837246566962747,184,0.9996338798893415,False
t0,global_theta,0.07458911169350696,0.000477740748588931,0.3142792617309176,184,0.8034011532439302,False
t0,global_alpha,0.13556233503996057,0.16883512165051723,0.06653464308593389,184,0.6896466093312127,False
t0,global_beta,0.13506443273488777,0.11050259097301149,0.06754909100120969,184,0.6896466093312127,False
t0,IAF,0.060837626685087805,0.003591913299475481,0.4120005914071437,184,0.8034011532439302,False
t0,frontal_theta_beta_ratio,-0.020124353416944938,-0.08577565448556182,0.7862778449298519,184,0.9362606329395059,False
t0,temporal_alpha_asymmetry,-0.006659120088042696,-0.04645065593034231,0.9285143949128395,184,0.9787043622054254,False
t0,connectivity_delta,0.1214834392248313,0.09366030321126542,0.10043640892080408,184,0.6896466093312127,False
t0,connectivity_theta,0.009645948055934314,0.06643293328966886,0.896601752220719,184,0.9733392493784033,False
t0,connectivity_alpha,0.020272729504899382,0.03653175627516326,0.7847404223951912,184,0.9362606329395059,False
t0,connectivity_beta,0.11951841716435893,0.15264009554814972,0.10609947835864811,184,0.6896466093312127,False
